Country,Year,Value
Azerbaijan,1997,3.803022741
Azerbaijan,1996,4.059066212
Azerbaijan,1995,4.356500976
Azerbaijan,1994,5.617069764
Azerbaijan,1993,6.586411474
Azerbaijan,1992,7.813362639
"Bahamas, The",2011,5.199844019
"Bahamas, The",2010,6.829321287
"Bahamas, The",2009,4.630520322
"Bahamas, The",2008,2.99808943
"Bahamas, The",2007,4.521353712
"Bahamas, The",2006,4.531865599
"Bahamas, The",2005,4.856024274
"Bahamas, The",2004,5.343508847
"Bahamas, The",2003,4.807931416
"Bahamas, The",2002,5.100139082
"Bahamas, The",2001,5.177430741
"Bahamas, The",2000,5.600991638
"Bahamas, The",1999,5.708374777
"Bahamas, The",1998,5.790252849
"Bahamas, The",1997,4.753575312
"Bahamas, The",1996,5.879253115
"Bahamas, The",1995,6.008020675
"Bahamas, The",1994,6.113815363
"Bahamas, The",1993,6.274733096
"Bahamas, The",1992,6.737845363
"Bahamas, The",1991,6.825147348
"Bahamas, The",1990,7.610436221
"Bahamas, The",1989,7.731341446
"Bahamas, The",1988,6.220877629
"Bahamas, The",1987,5.845721493
"Bahamas, The",1986,5.903831357
"Bahamas, The",1985,6.437609722
"Bahamas, The",1984,8.066838829
"Bahamas, The",1983,8.956413615
"Bahamas, The",1982,10.2714289
"Bahamas, The",1981,13.0062023
"Bahamas, The",1980,37.93028102
"Bahamas, The",1979,33.63762995
"Bahamas, The",1978,32.79192699
"Bahamas, The",1977,49.29813614
"Bahamas, The",1976,33.51349628
"Bahamas, The",1975,43.70144852
"Bahamas, The",1974,39.91963673
"Bahamas, The",1973,43.38030955
"Bahamas, The",1972,36.495974
"Bahamas, The",1971,38.72277085
"Bahamas, The",1970,15.20013463
"Bahamas, The",1969,10.62704414
"Bahamas, The",1968,10.2869904
"Bahamas, The",1967,11.17350449
"Bahamas, The",1966,7.466084556
"Bahamas, The",1965,9.399945733
"Bahamas, The",1964,8.118596528
"Bahamas, The",1963,5.55819871
"Bahamas, The",1962,5.996432199
"Bahamas, The",1961,4.746698752
"Bahamas, The",1960,3.74983109
Bahrain,2011,17.94732981
Bahrain,2010,18.43502476
Bahrain,2009,18.13623374
Bahrain,2008,21.51999548
Bahrain,2007,21.44329552
Bahrain,2006,20.01475859
Bahrain,2005,22.15390524
Bahrain,2004,21.67099428
Bahrain,2003,21.6236937
Bahrain,2002,21.64210708
Bahrain,2001,20.04231731
Bahrain,2000,27.95664425
Bahrain,1999,28.11597057
Bahrain,1998,29.77842227
Bahrain,1997,28.96998331
Bahrain,1996,26.94021781
Bahrain,1995,28.4198517
Bahrain,1994,29.080863
Bahrain,1993,29.31179484
Bahrain,1992,21.91439852
Bahrain,1991,24.20424052
Bahrain,1990,25.5388068
Bahrain,1989,24.39707478
Bahrain,1988,26.14472041
Bahrain,1987,25.4569972
Bahrain,1986,25.4033016
Bahrain,1985,24.30532276
Bahrain,1984,22.61128915
Bahrain,1983,20.75623728
Bahrain,1982,25.49180205
Bahrain,1981,22.78857334
Bahrain,1980,21.9162911
Bahrain,1979,23.72438154
Bahrain,1978,24.00754843
Bahrain,1977,24.63321967
Bahrain,1976,23.16397093
Bahrain,1975,21.57414712
Bahrain,1974,21.43721519
Bahrain,1973,23.02385558
Bahrain,1972,16.03597749
Bahrain,1971,13.76735897
Bahrain,1970,12.16585954
Bahrain,1969,6.162905812
Bahrain,1968,5.492662463
Bahrain,1967,5.121012421
Bahrain,1966,3.384358282
Bahrain,1965,6.557022226
